"Licence_number","Name","Address","Postcode","Reference","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh","longitude","latitude"
3,"Lancing College","  Lancing College, College Drive, Lancing, West Sussex, BN15 0RW","BN15 0RW","LN/200600096",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.30509,50.845527
4,"Lancing Manor Leisure Centre","  Lancing Manor Leisure Centre, Leisure Centre, Lancing Manor, Manor Road, Lancing, West Sussex, BN15 0PH","BN15 0PH","LN/200500267",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.318639,50.837288
5,"Lancing Parish Council","  Lancing Parish Council, Lancing Parish Hall, 96-98 South Street, Lancing, West Sussex, BN15 8AJ","BN15 8AJ","LN/200500287",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.323665,50.823843
6,"Lancing Sailing Club","  Lancing Sailing Club, Shopsdam Road, Lancing, West Sussex, BN15 8ES","BN15 8ES","LN/200500309",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.313678,50.821696
7,"Laylands News & Off Licence","  Laylands News & Off Licence, Former 4, Laylands Road, Southwick, West Sussex, BN41 1PP","BN41 1PP","LN/200700228","Alcohol OFF Sales/Supply",NA,NA,NA,-0.221151,50.832856
8,"Lidl","  Lidl, Unit 1, Malthouse Trading Estate, Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RJ","BN43 6RJ","LN/201500335","Alcohol OFF Sales/Supply",NA,NA,NA,-0.258791,50.832687
1,"Joyson News","  Joyson News, 401 Brighton Road, Lancing, West Sussex, BN15 8JX","BN15 8JX","LN/200500283","Alcohol OFF Sales/Supply",NA,NA,NA,-0.297227,50.825825
1,"Indian Cottage Tandoori","  Indian Cottage Tandoori, 74-76 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200500295",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.278177,50.832653
2,"Into The Blue","  Into The Blue, 29-31 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200500361",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.271918,50.829069
1,"H & K Store","  H & K Store, 10-12 Lisher Road, Lancing, West Sussex, BN15 9EY","BN15 9EY","LN/201200046","Alcohol OFF Sales/Supply",NA,NA,NA,-0.314387,50.835464
2,"Harvester","  Harvester, Britannia Inn, 98 Grinstead Lane, Lancing, West Sussex, BN15 9DP","BN15 9DP","LN/200500356",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.319463,50.831337
3,"Hellen News","  Hellen News, 29 Brunswick Road, Shoreham-By-Sea, West Sussex, BN43 5WA","BN43 5WA","LN/201300001","Alcohol OFF Sales/Supply",NA,NA,NA,-0.272847,50.833903
4,"Holmbush Stores, Mace","  Holmbush Stores, Mace, 60 Holmbush Way, Southwick, West Sussex, BN42 4YD","BN42 4YD","LN/200500292","Alcohol OFF Sales/Supply",NA,NA,NA,-0.238196,50.844096
5,"Hummingbird Restaurant","  Hummingbird Restaurant, Cafe, Terminal Building, 14 Cecil Pashley Way, Lancing, West Sussex, BN43 5FF","BN43 5FF","LN/200500339",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.29223,50.833219
1,"Gardeners Arms","  Gardeners Arms, West Street, Sompting, West Sussex, BN15 0AR","BN15 0AR","LN/200500346",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.354082,50.834627
