Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6517,Licensing Act 2003,Premises Licence,Granted,Findon Black Horse Ltd,,Black Horse,"BLACK HORSE INN, High Street, Findon, WORTHING, West Sussex, BN14 0SX",08/05/2019,,Arun
8256,Licensing Act 2003,Premises Licence,Granted,Mr Habib Akbasli,,Broadmark Cafe Bar,"8, Broadmark Parade, Broadmark Lane, Rustington, Littlehampton, West Sussex, BN16 2NE",13/05/2019,,Arun
9373,Licensing Act 2003,Premises Licence,Granted,Haven Leisure Ltd,,Church Farm Holiday Village,"CHURCH FARM HOLIDAY VILLAGE, Church Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 4NR",24/05/2019,,Arun
6520,Licensing Act 2003,Premises Licence,Granted,Le Gouter Limited,,Le Gouter,"21 Tarrant Street, Arundel, West Sussex, BN18 9DG",01/07/2019,,Arun
112340,Licensing Act 2003,Premises Licence,Granted,Zapp Trading UK Ltd,,Campus & Co (Zapp Trading Ltd),"STREET RECORD, Nyton Road, Aldingbourne, West Sussex",18/07/2019,,Arun
6423,Licensing Act 2003,Premises Licence,Granted,Mr A Jones,,Henty Arms,"HENTY ARMS, 2, Ferring Lane, Ferring, WORTHING, West Sussex, BN12 6QY",07/09/2017,,Arun
6431,Licensing Act 2003,Premises Licence,Granted,Mr Bashir Ahamed,,Peri Peri House,"10 - 12 Waterloo Square, BOGNOR REGIS, West Sussex, PO21 1SU",16/08/2019,,Arun
6557,Licensing Act 2003,Premises Licence,Granted,Quick Marketing Ltd,,Hothampton Arms,"THE HOTHAMPTON ARMS, 49, London Road, BOGNOR REGIS, West Sussex, PO21 1PR",18/07/2019,,Arun
14483,Licensing Act 2003,Premises Licence,Granted,Mr Peter Geoffrey Garrett,,The Bluebird Cafe,"THE BLUEBIRD CAFE, South Drive, Ferring, WORTHING, West Sussex, BN12 5QU",15/08/2019,,Arun
6699,Licensing Act 2003,Premises Licence,Granted,Hall and Woodhouse Ltd,,The Lion,"LION HOTEL, Nyetimber Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 3JX",07/08/2019,,Arun
6594,Licensing Act 2003,Premises Licence,Granted,Mr Abdul Wadud,,Spice Paradise,"6 The Parade, Pagham, Bognor Regis, West Sussex, PO21 4TW",15/10/2019,,Arun
13165,Licensing Act 2003,Premises Licence,Granted,Surplus Property Investments Limited,,,"THE SHIP INN, Aldwick Street, Aldwick, BOGNOR REGIS, West Sussex, PO21 3AP",04/09/2020,,Arun
6539,Licensing Act 2003,Premises Licence,Suspended,Mr Gurmej Singh Athwal,,Aldingbourne Post Office,"SHOP AROUND THE CLOCK AND ALDINGBOURNE POST OFFICE, Westergate Street, Westergate, CHICHESTER, West Sussex, PO20 3QL",24/11/2005,,Arun
6608,Licensing Act 2003,Premises Licence,Granted,Punch Taverns Ltd,,The Wilkes Head Ltd,"THE WILKES HEAD, Church Lane, Eastergate, CHICHESTER, West Sussex, PO20 3UT",10/09/2019,,Arun
6968,Licensing Act 2003,Premises Licence,Granted,William Kebab Ltd,,Istanbul Grill,"10 High Street, BOGNOR REGIS, West Sussex, PO21 1SR",11/09/2019,,Arun
8312,Licensing Act 2003,Premises Licence,Granted,Mr Manickavasakar Mayuran,,Wick Parade Mini Market,"3, Wick Parade, Wick Street, Littlehampton, West Sussex, BN17 7JQ",17/09/2019,,Arun
8790,Licensing Act 2003,Premises Licence,Granted,Mr Mateusz Zurek,,Minutka Polish Shop,"1 Longford Road, BOGNOR REGIS, West Sussex, PO21 1AA",27/03/2019,,Arun
8753,Licensing Act 2003,Premises Licence,Granted,Mrs Toksin Afsa,,Little Magna Tandoori,"22 High Street, LITTLEHAMPTON, West Sussex, BN17 5EE",05/11/2019,,Arun
13828,Licensing Act 2003,Premises Licence,Granted,Waitrose Ltd,,Waitrose,"1 - 3 Broadmark Lane, Rustington, Littlehampton, West Sussex, BN16 2NE",25/10/2019,,Arun
14829,Licensing Act 2003,Premises Licence,Suspended,Mrs Tracey J Eley,,Middleton Cafe,"132 Middleton Road, Middleton-on-sea, BOGNOR REGIS, West Sussex, PO22 6DB",02/09/2016,,Arun
113021,Licensing Act 2003,Premises Licence,Granted,Mr Satbir Singh Dhajan,,Arcade Lounge,"8 - 10 Arcade Road, Littlehampton, West Sussex, BN17 5AP",09/12/2019,,Arun
112276,Licensing Act 2003,Premises Licence,Granted,Ham Manor Golf Club Ltd,,Ham Manor Golf Club,"HAM MANOR GOLF CLUB, West Drive, Angmering, LITTLEHAMPTON, West Sussex, BN16 4JE",22/11/2019,,Arun
113160,Licensing Act 2003,Premises Licence,Granted,Mrs Alison Dorian Cockburn,,Cockburn's Tearooms,"43 High Street, Arundel, West Sussex, BN18 9AG",06/01/2020,,Arun
15156,Licensing Act 2003,Premises Licence,Granted,Aldi Stores Ltd,,Aldi,"UNIT 3, MANOR RETAIL PARK RUSTINGTON BYPASS, Rustington, LITTLEHAMPTON, West Sussex, BN16 3FH",21/11/2019,,Arun
6636,Licensing Act 2003,Premises Licence,Granted,Wise Monkeys Ltd,,The Bear Inn,"THE BEAR INN, 237, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 3QB",02/12/2019,,Arun
12581,Licensing Act 2003,Premises Licence,Granted,Mr Avneet Singh Saluja,,Rustington Convenience Store,"59 - 61 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2RQ",16/12/2019,,Arun
11192,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco,"351 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5AN",09/12/2019,,Arun
15559,Licensing Act 2003,Premises Licence,Granted,Lemongrass Arun Ltd,,Lemongrass,"50 The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NR",17/01/2020,,Arun
111238,Licensing Act 2003,Premises Licence,Granted,Digby Wine Limited,,Digby Fine English,"55 - 57 High Street, Arundel, West Sussex, BN18 9AJ",02/01/2019,,Arun
6534,Licensing Act 2003,Premises Licence,Granted,Regency Corporation Limited,,The Eagle,"EAGLE INN, 41, Tarrant Street, ARUNDEL, West Sussex, BN18 9DJ",28/01/2020,,Arun
6627,Licensing Act 2003,Premises Licence,Granted,Greene King Retailing Limited,,Prince Of Wales,"THE PRINCE OF WALES, Lidsey Road, Woodgate, CHICHESTER, West Sussex, PO20 3ST",11/02/2020,,Arun
15666,Licensing Act 2003,Premises Licence,Granted,Savers Health & Beauty Ltd,,Savers Health And Beauty,"12 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BG",05/02/2018,,Arun
6488,Licensing Act 2003,Premises Licence,Granted,Mr Roger James Tester,,The Star and Garter,"The Star And Garter, 3, The Steyne, Bognor Regis, West Sussex, PO21 1TX",26/03/2020,,Arun
6613,Licensing Act 2003,Premises Licence,Granted,Miss Harriet Hislop,,Harriet's,"1, CHURCHILL PARADE, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DJ",02/03/2020,,Arun
5841,Licensing Act 2003,Premises Licence,Granted,John Kuriakose,,Larkins Grocery,"35 Tarrant Street, Arundel, West Sussex, BN18 9DG",03/04/2020,,Arun
113706,Licensing Act 2003,Premises Licence,Granted,Kevin Fox,,Gin Genie Distillery Ltd,"8 Columbine Way, LITTLEHAMPTON, West Sussex, BN17 6UX",22/04/2020,,Arun
6522,Licensing Act 2003,Premises Licence,Granted,Beachtown Inns Ltd,,New Inn,"NEW INN, 5, Norfolk Road, LITTLEHAMPTON, West Sussex, BN17 5PL",01/04/2020,,Arun
113728,Licensing Act 2003,Premises Licence,Granted,The Georgi Fin Rustington Ltd,,The Georgi Fin,"106 The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NJ",22/05/2020,,Arun
7313,Licensing Act 2003,Premises Licence,Granted,Arundel Town Council,,Arundel Town Council,"Street Record, High Street, Arundel, West Sussex, BN18 9AP",20/06/2020,,Arun
6819,Licensing Act 2003,Premises Licence,Granted,Peter & Pauline Glasson,,Spar Nyetimber,"211 - 213 Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 3QD",22/04/2020,,Arun
112223,Licensing Act 2003,Premises Licence,Granted,The Standard P Ltd,,The Standard P,"23 Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JN",05/06/2020,,Arun
6840,Licensing Act 2003,Premises Licence,Granted,Mr A S Honour & Mrs E M Honour,,The Inglenook Hotel,"INGLENOOK HOTEL, 253 - 255, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 3QB",23/06/2020,,Arun
6328,Licensing Act 2003,Premises Licence,Granted,Justin Retail Ltd,,Premier,"220 - 222 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5BE",27/05/2020,,Arun
14229,Licensing Act 2003,Premises Licence,Granted,Mr Roberto Aru,,Ristorante Al Mare,"2 The Street, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JJ",12/06/2020,,Arun
16369,Licensing Act 2003,Premises Licence,Granted,The Brewhouse At Arundel Ltd,,The Brewhouse,"THE BREWHOUSE, Lyminster Road, Lyminster, West Sussex",14/07/2020,,Arun
9528,Licensing Act 2003,Premises Licence,Granted,Bognor Pier Leisure Ltd - Club Vision,,Legends Sports Bar & Grill/ Club Sheiks/Club Vision,"THE PIER, The Esplanade, BOGNOR REGIS, West Sussex, PO21 1SY",15/07/2020,,Arun
113863,Licensing Act 2003,Premises Licence,Granted,Listers Brewery Limited,,Listers Brewery Ltd,"LOWER BARPHAM FARMHOUSE, LOWER BARPHAM, Michelgrove Lane, Patching, WORTHING, West Sussex, BN13 3XW",03/08/2020,,Arun
113864,Licensing Act 2003,Premises Licence,Granted,Edgcumbe Cafes Limited,,Edge by the Sea,"NORFOLK CAFE, NORFOLK GARDENS LEISURE SPORTS SITE, Sea Road, Littlehampton, West Sussex",28/07/2020,,Arun
113895,Licensing Act 2003,Premises Licence,Granted,Parkers Foodservice LTD,,Parkers Food Service,"UNIT X, RUDFORD INDUSTRIAL ESTATE, Ford Road, Ford, ARUNDEL, West Sussex, BN18 0BF",28/08/2020,,Arun
14191,Licensing Act 2003,Premises Licence,Granted,Tasca De Felgueiras Ltd,,Your Taste,"74 Hawthorn Road, Bognor Regis, West Sussex, PO21 2DD",23/07/2020,,Arun
114019,Licensing Act 2003,Premises Licence,Granted,Mr Mark Lehmann,,Goldmark Craft Beers,"UNIT, 23, THE VINERY, Arundel Road, Poling, ARUNDEL, West Sussex, BN18 9PY",25/09/2020,,Arun
6660,Licensing Act 2003,Premises Licence,Granted,Whitbread Group PLC,,Crossbush Beefeater,"PREMIER INN, Crossbush Lane, Crossbush, ARUNDEL, West Sussex, BN18 9PQ",24/08/2020,,Arun
16036,Licensing Act 2003,Premises Licence,Granted,DP & MM Ltd,,Angelina's Bar & Eatery,"2 Lennox Street, BOGNOR REGIS, West Sussex, PO21 1LZ",25/08/2020,,Arun
6665,Licensing Act 2003,Premises Licence,Granted,Fuller Smith & Turner PLC,,The Elmer Hotel & Pub,"Elmer Hotel, 89, Elmer Road, Middleton-on-sea, Bognor Regis, West Sussex, PO22 6HD",10/09/2020,,Arun
6516,Licensing Act 2003,Premises Licence,Granted,Fuller Smith & Turner PLC,,Royal Oak,"THE ROYAL OAK INN, Pagham Road, Pagham, CHICHESTER, West Sussex, PO20 1LN",10/09/2020,,Arun
6565,Licensing Act 2003,Premises Licence,Granted,Fuller Smith & Turner PLC,,The Swan Hotel,"The Swan Hotel, 27 - 29, High Street, Arundel, West Sussex, BN18 9AG",10/09/2020,,Arun
6542,Licensing Act 2003,Premises Licence,Granted,Fuller Smith & Turner PLC,,The Tudor Tavern,"The Tudor Tavern, 138 - 140, Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN",10/09/2020,,Arun
114129,Licensing Act 2003,Premises Licence,Granted,Mr Alisan Gundogdu,,Howards Cafe,"17 The Arcade, Bognor Regis, West Sussex, PO21 1LH",06/10/2020,,Arun
10094,Licensing Act 2003,Premises Licence,Granted,Highdown Garden Centre Limited,,Highdown Garden Centre,"HIGHDOWN GARDEN CENTRE, Littlehampton Road, Ferring, WORTHING, West Sussex, BN12 6PW",29/09/2020,,Arun
6513,Licensing Act 2003,Premises Licence,Granted,Ms Angela Phillips,,Unicorn Public House,"THE UNICORN PUBLIC HOUSE, 76, High Street, BOGNOR REGIS, West Sussex, PO21 1RZ",06/10/2020,,Arun
114205,Licensing Act 2003,Premises Licence,Suspended,Julie Connelly,,West Meads Post Office,"10 The Precinct, Aldwick, Bognor Regis, West Sussex, PO21 5SB",11/11/2020,,Arun
6525,Licensing Act 2003,Premises Licence,Granted,Mr Nilaan Puvirajasingam,,Grande Wines,"73 Felpham Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7PA",19/10/2020,,Arun
14800,Licensing Act 2003,Premises Licence,Granted,Loungers UK Limited,,Establo Lounge,"1 Ash Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 3BU",09/10/2020,,Arun
112374,Licensing Act 2003,Premises Licence,Granted,Harbour Lights (Littlehampton) Ltd,,Harbour Lights Cafe,"THE LOOK AND SEA CENTRE, Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5AW",28/10/2020,,Arun
9182,Licensing Act 2003,Premises Licence,Granted,Lobster Pot (Bognor Regis) Ltd,,Lobster Pot Cafe,"THE LOBSTER POT, Canning Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7AD",28/10/2020,,Arun
6688,Licensing Act 2003,Premises Licence,Granted,Mr C S R Smith & Mrs V A Smith,,Black Horse,"BLACK HORSE INN, Binsted Lane, Walberton, ARUNDEL, West Sussex, BN18 0LP",27/11/2020,,Arun
9499,Licensing Act 2003,Premises Licence,Granted,Iceland Foods Ltd,,Iceland,"19 - 23 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5AY",20/10/2020,,Arun
111958,Licensing Act 2003,Premises Licence,Granted,Edgcumbe Tea and Coffee Ltd,,The Edge Cafe,"TEA AND COFFEE SHOP, WICKS FARM HOUSE, Ford Lane, Ford, ARUNDEL, West Sussex, BN18 0DF",14/12/2020,,Arun
114266,Licensing Act 2003,Premises Licence,Granted,One Stop Stores Limited,,One Stop,"THE SHIP INN, Aldwick Street, Aldwick, BOGNOR REGIS, West Sussex, PO21 3AP",23/02/2021,,Arun
10030,Licensing Act 2003,Premises Licence,Granted,Findon Garden Centre,,Findon Garden Centre,"FINDON GARDEN CENTRE, Findon Road, Findon, WORTHING, West Sussex, BN14 0TL",06/01/2021,,Arun
114454,Licensing Act 2003,Premises Licence,Granted,Claire Simmonds,,Mopani Trading,"Unit D1, Ford Airfield Industrial Estate, Rollaston Park, Ford, Arundel, West Sussex, BN18 0HY",18/02/2021,,Arun
13243,Licensing Act 2003,Premises Licence,Granted,Rodrigues Portuguese Grill Ltd,,Portuguese Grill,"33 High Street, Littlehampton, West Sussex, BN17 5EG",12/12/2020,,Arun
11573,Licensing Act 2003,Premises Licence,Granted,Johanna Maria Van Akkeren,,House Arundel,"11 High Street, Arundel, West Sussex, BN18 9AD",16/02/2021,,Arun
114510,Licensing Act 2003,Premises Licence,Granted,Phoenix Frozen Foods Ltd,,Phoenix Frozen Foods,"UNIT, 56, THE VINERY, Arundel Road, Poling, ARUNDEL, West Sussex, BN18 9PY",25/03/2021,,Arun
10305,Licensing Act 2003,Premises Licence,Suspended,Mr S V Young,,Rustington Manor,"RUSTINGTON MANOR HOTEL AND RESTAURANT, 12, Broadmark Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2HH",19/02/2021,,Arun
13537,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco,"15 - 17 Station Road, Bognor Regis, West Sussex, PO21 1QD",16/03/2021,,Arun
114659,Licensing Act 2003,Premises Licence,Granted,Alistair Morrell,,Cider Is Wine Ltd,"UNIT K, RIVERSIDE INDUSTRIAL ESTATE, Bridge Road, LITTLEHAMPTON, West Sussex, BN17 5DF",28/04/2021,,Arun
114678,Licensing Act 2003,Premises Licence,Granted,Ms Christine Coe,,Rita's Cafe,"Rope Walk, Littlehampton, West Sussex, BN17 5DE",07/05/2021,,Arun
6747,Licensing Act 2003,Premises Licence,Granted,Mr Justin Watkins,,The Spotted Cow,"THE SPOTTED COW, High Street, Angmering, LITTLEHAMPTON, West Sussex, BN16 4AW",20/04/2021,,Arun
114697,Licensing Act 2003,Premises Licence,Granted,Thusyanthan Thiyagarajah,,Kingley Gate Bay,"86 Benjamin Gray Drive, LITTLEHAMPTON, West Sussex, BN17 7FA",18/05/2021,,Arun
9685,Licensing Act 2003,Premises Licence,Granted,Mrs Jessica Olivia Clifton,,Fig,"10, CHURCHILL COURT, 112 - 114, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DA",28/05/2021,,Arun
114741,Licensing Act 2003,Premises Licence,Suspended,Mr George Mitchell,,Mitchell's Travel - Not Just Coffee,"2 London Road, BOGNOR REGIS, West Sussex, PO21 1QU",23/06/2021,,Arun
114749,Licensing Act 2003,Premises Licence,Granted,Megan Grover,,Lulamae's Cafe,"13 High Street, Arundel, West Sussex, BN18 9AD",07/06/2021,,Arun
6540,Licensing Act 2003,Premises Licence,Granted,Co-Operative Group Food Ltd - Dept 10227 - Licensing,,Co-op,"15 - 17 Queen Street, Arundel, West Sussex, BN18 9JG",05/05/2021,,Arun
15408,Licensing Act 2003,Premises Licence,Granted,Mr Michael John Newton-Young,,Chez Moi,"49 Aldwick Road, Bognor Regis, West Sussex, PO21 2NJ",23/06/2017,,Arun
113774,Licensing Act 2003,Premises Licence,Granted,Miss Sally Jane Beituni,,The Resourceful Squirrel,"RED LION BUILDINGS, High Street, Angmering, LITTLEHAMPTON, West Sussex, BN16 4AE",30/06/2021,,Arun
6568,Licensing Act 2003,Premises Licence,Granted,Lillywhite Pub Group Ltd,,The Fox Inn,"THE FOX INN, Waterloo Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7EH",14/06/2021,,Arun
114908,Licensing Act 2003,Premises Licence,Granted,Home Grown Hotels Ltd,,The Pig in the South Downs,"MADEHURST LODGE, Madehurst Road, Madehurst, ARUNDEL, West Sussex, BN18 0NL",16/07/2021,,Arun
114910,Licensing Act 2003,Premises Licence,Granted,Mr GOKHAN GUNDESOGLU,,GİO'S ESPRESSO BAR,"KIOSK 1, 21, The Square, Barnham, BOGNOR REGIS, West Sussex, PO22 0HB",22/07/2021,,Arun
6410,Licensing Act 2003,Premises Licence,Granted,Boudin Noir ltd,,Boudin noir ltd,"THE GUN INN, High Street, Findon, WORTHING, West Sussex, BN14 0TA",09/12/2010,,Arun
6508,Licensing Act 2003,Premises Licence,Granted,Mr Mark Lane,,The Felpham Tap LTD,"THATCHED HOUSE INN, 8, Limmer Lane, Felpham, BOGNOR REGIS, West Sussex, PO22 7EJ",27/08/2018,,Arun
6772,Licensing Act 2003,Premises Licence,Granted,Motor Fuel Limited,,Bognor Regis Service Station,"PETROL FILLING STATION, 97 Felpham Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8QB",18/02/2021,,Arun
13171,Licensing Act 2003,Premises Licence,Granted,Co-Operative Group Food Ltd - Dept 10227 - Licensing,,Co-operative Food,"The Coop, The Parade, Pagham, Bognor Regis, West Sussex, PO21 4TW",13/11/2019,,Arun
6505,Licensing Act 2003,Premises Licence,Granted,Punch Partnerships (PTL) Ltd,,Locomotive,"LOCOMOTIVE INN, 74, Lyminster Road, Wick, LITTLEHAMPTON, West Sussex, BN17 7LW",05/03/2018,,Arun
15706,Licensing Act 2003,Premises Licence,Granted,Mr Jamie Boyle,,The Dog & Duck,"65 High Street, Bognor Regis, West Sussex, PO21 1RY",08/07/2021,,Arun
115068,Licensing Act 2003,Premises Licence,Granted,Karen Hope,,Suga'kane,"7 York Road, Bognor Regis, West Sussex, PO21 1LW",13/08/2021,,Arun
6345,Licensing Act 2003,Premises Licence,Granted,Mitchells and Butlers Leisure Retail Limited,,The Oystercatcher,"THE OYSTERCATCHER, Yapton Road, Climping, LITTLEHAMPTON, West Sussex, BN17 5RU",23/07/2021,,Arun
6872,Licensing Act 2003,Premises Licence,Granted,Fontwell Park Steeplechase Ltd,,Fontwell Park Racecourse,"FONTWELL PARK RACECOURSE, Arundel Road, Fontwell, ARUNDEL, West Sussex, BN18 0SX",12/04/2019,,Arun
15706,Licensing Act 2003,Premises Licence,Granted,Mr Jamie Boyle,,The Dog and Duck,"65 High Street, Bognor Regis, West Sussex, PO21 1RY",13/08/2021,,Arun
6543,Licensing Act 2003,Premises Licence,Granted,Hotel Hardwicke Ltd,,William Hardwicke,"THE WILLIAM HARDWICKE, 12, High Street, BOGNOR REGIS, West Sussex, PO21 1SR",13/08/2021,,Arun
6708,Licensing Act 2003,Premises Licence,Granted,Stars Pubs & Bars,,Station,"The Station Public House, 26, Station Road, Bognor Regis, West Sussex, PO21 1QF",09/08/2021,,Arun
6455,Licensing Act 2003,Premises Licence,Granted,Co-Operative Group Food Ltd - Dept 10227 - Licensing,,Co-op,"2 Nyetimber Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 3HG",11/08/2021,,Arun
115278,Licensing Act 2003,Premises Licence,Granted,Picturedrome Electric Theatre Company Ltd,,Picturedrome Dining Room,"1A Linden Road, Bognor Regis, West Sussex, PO21 2AL",30/09/2021,,Arun
6465,Licensing Act 2003,Premises Licence,Granted,Nisanthan Navaraththinam,,AA mini market,"112 Clun Road, Wick, LITTLEHAMPTON, West Sussex, BN17 7ER",09/09/2021,,Arun
6555,Licensing Act 2003,Premises Licence,Granted,Hawthorn Leisure Ltd,,The Crown,"The Crown Hotel, 29, High Street, Littlehampton, West Sussex, BN17 5EG",20/10/2021,,Arun
115398,Licensing Act 2003,Premises Licence,Granted,Brewz Bar Limited,,Bangerz 'n' Burgerz,"144 - 146 The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DA",04/10/2021,,Arun
115415,Licensing Act 2003,Premises Licence,Granted,The Trustees Slindon Coronation Hall,,Coronation Hall,"SLINDON CORONATION HALL, Reynolds Lane, Slindon, ARUNDEL, West Sussex, BN18 0QT",06/11/2021,,Arun
6446,Licensing Act 2003,Premises Licence,Granted,Punch Partnerships (PTL) Ltd,,The Royal Oak,"THE ROYAL OAK PUBLIC HOUSE, 336, Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5JF",11/10/2021,,Arun
6427,Licensing Act 2003,Premises Licence,Granted,Southern Co-Operative Ltd,,Co-op,"74 - 78 Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP",14/10/2021,,Arun
14715,Licensing Act 2003,Premises Licence,Granted,Butlins Skyline Limited,,Butlins Resort,"Butlins, Upper Bognor Road, Bognor Regis, West Sussex, PO21 1JJ",19/11/2021,,Arun
115531,Licensing Act 2003,Premises Licence,Granted,University Of Chichester,,University Of Chichester,"UNIVERSITY OF CHICHESTER, Upper Bognor Road, BOGNOR REGIS, West Sussex, PO21 1HR",25/10/2021,,Arun
6500,Licensing Act 2003,Premises Licence,Granted,Mitchells and Butlers Leisure Retail Limited,,The Wheatsheaf,"THE WHEATSHEAF, 85, Hawthorn Road, BOGNOR REGIS, West Sussex, PO21 2BE",08/11/2021,,Arun
6428,Licensing Act 2003,Premises Licence,Granted,Jd Wetherspoon PLC,,The Hatters Inn,"The Hatters Inn, 2 - 10, Queensway, Bognor Regis, West Sussex, PO21 1QT",19/11/2021,,Arun
13667,Licensing Act 2003,Premises Licence,Granted,Mr Thomas Barnes,,Hotham Park Cafe,"HOTHAM PARK CAFE, HOTHAM PARK, High Street, Bognor Regis, West Sussex",30/12/2021,,Arun
115715,Licensing Act 2003,Premises Licence,Granted,Mr Thomas Barnes,,The Lobster Pot,"THE LOBSTER POT, Canning Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7AD",30/12/2021,,Arun
8186,Licensing Act 2003,Premises Licence,Granted,University Of Chichester,,The Hub,"UNIVERSITY OF CHICHESTER, Upper Bognor Road, BOGNOR REGIS, West Sussex, PO21 1HR",24/12/2021,,Arun
115797,Licensing Act 2003,Premises Licence,Granted,Lamstone Ltd,,The Stone Room,"Restaurant, The Square, Angmering, Littlehampton, West Sussex, BN16 4EA",05/02/2022,,Arun
6550,Licensing Act 2003,Premises Licence,Granted,Fuller Smith & Turner PLC,,The Murrell Arms,"THE MURRELL ARMS, Yapton Road, Barnham, BOGNOR REGIS, West Sussex, PO22 0AS",07/01/2022,,Arun
115359,Licensing Act 2003,Premises Licence,Granted,Miss Charlotte George,,Café Grey,"26 Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7AZ",11/01/2022,,Arun
6739,Licensing Act 2003,Premises Licence,Granted,Mr Mehmet Karakus,,Best Kebab,"18 Queensway, Bognor Regis, West Sussex, PO21 1QT",25/09/2020,,Arun
6630,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco Stores Limited,"TESCO SUPERSTORE, Shripney Road, BOGNOR REGIS, West Sussex, PO22 9ND",25/01/2022,,Arun
6705,Licensing Act 2003,Premises Licence,Granted,Mr Thomas Peter Edward GARRETT,,Belinda's,"13 Tarrant Street, Arundel, West Sussex, BN18 9DG",31/01/2022,,Arun
12374,Licensing Act 2003,Premises Licence,Granted,Mr Beston Hussain Mohammad,,Eu Supermarket,"49 High Street, Bognor Regis, West Sussex, PO21 1RX",13/03/2014,,Arun
6473,Licensing Act 2003,Premises Licence,Granted,Licensing,,One Stop Community Stores,"41 Elmer Road, Middleton-on-sea, BOGNOR REGIS, West Sussex, PO22 6DZ",04/12/2015,,Arun
6756,Licensing Act 2003,Premises Licence,Granted,Mitchells and Butlers Leisure Retail Limited,,Windmill Harvester,"THE WINDMILL HARVESTER, Coastguard Road, LITTLEHAMPTON, West Sussex, BN17 5LH",14/02/2022,,Arun
114028,Licensing Act 2003,Premises Licence,Granted,Mr Halkaout Faizulai,,Bucharest Supermarket,"70 London Road, BOGNOR REGIS, West Sussex, PO21 1PT",09/02/2022,,Arun
7915,Licensing Act 2003,Premises Licence,Granted,Deffine Foods Ltd,,Kopernik Deli,"21 Station Road, Bognor Regis, West Sussex, PO21 1QD",19/06/2017,,Arun
9745,Licensing Act 2003,Premises Licence,Granted,Mr David Vernon Carlyle,,Carlyle's Cafe & Restaurant,"2, Norfolk House, 15, Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7DA",20/08/2010,,Arun
114092,Licensing Act 2003,Premises Licence,Granted,Khawar Shahzad,,Sussex News,"15B Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5AZ",01/03/2022,,Arun
10898,Licensing Act 2003,Premises Licence,Granted,Mr Harshad Jayanti Patel,,Elmer Beach Store,"91 - 93 Elmer Road, Middleton-on-sea, BOGNOR REGIS, West Sussex, PO22 6HB",06/12/2011,,Arun
115392,Licensing Act 2003,Premises Licence,Granted,Mitchells and Butlers Leisure Retail Limited,,The Southdowns,"THE SOUTHDOWNS, 133, Felpham Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8QJ",15/02/2022,,Arun
10955,Licensing Act 2003,Premises Licence,Granted,Haskins Garden Centres Limited,,HASKINS GARDEN CENTRES LIMITED,"HASKINS ROUNDSTONE, Roundstone-by-pass, Angmering, LITTLEHAMPTON, West Sussex, BN16 4BD",11/03/2022,,Arun
6527,Licensing Act 2003,Premises Licence,Granted,Mr Bhavik Patel,,Pick a Wish,"51 High Street, Bognor Regis, West Sussex, PO21 1RX",24/11/2005,,Arun
115536,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco Stores Limited,"15 - 17 Station Road, Bognor Regis, West Sussex, PO21 1QD",15/03/2022,,Arun
