Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6576,Licensing Act 2003,Premises Licence,Granted,Mr T H Green,,Dizzy Ducklings,"COMMUNITY CENTRE, 90, Pryors Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 4JF",24/11/2005,,
6577,Licensing Act 2003,Premises Licence,Granted,M A Majid M J R Majid & A Ali,,Magna Tandoori,"33 Argyle Road, BOGNOR REGIS, West Sussex, PO21 1EB",24/11/2005,,Arun
6580,Licensing Act 2003,Premises Licence,Granted,Mr L X Lin,,Dragon,"125 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2SG",01/03/2013,,
6581,Licensing Act 2003,Premises Licence,Granted,Mrs Carole Susan Austin,,The George And Dragon,"GEORGE AND DRAGON, The Street, Houghton, ARUNDEL, West Sussex, BN18 9LW",01/10/2009,,
6590,Licensing Act 2003,Premises Licence,Granted,Mr Srisarvendran Thedchanamoorthy,,London Stores,"51A London Road, BOGNOR REGIS, West Sussex, PO21 1DG",23/10/2013,,
6592,Licensing Act 2003,Premises Licence,Granted,South Coast Foods Ltd,,McDonalds Restaurant,"MCDONALDS RESTAURANT, Lyminster Road, Lyminster, LITTLEHAMPTON, West Sussex, BN17 7QQ",19/03/2017,,
6598,Licensing Act 2003,Premises Licence,Granted,Aldwick Parochial Church,,Mosse Memorial Hall - Dizzy Ducklings,"MOSSE MEMORIAL HALL, St Richards Way, Aldwick, BOGNOR REGIS, West Sussex, PO21 3BD",24/11/2005,,
6600,Licensing Act 2003,Premises Licence,Granted,Beckwell Ltd,,Bailiffscourt Hotel & Spa,"Bailiffscourt Hotel, Climping Street, Climping, Littlehampton, West Sussex, BN17 5RW",24/11/2005,,
6609,Licensing Act 2003,Premises Licence,Granted,Wealden Leisure Ltd,,Freedom Leisure (windmill Theatre),"WINDMILL COMPLEX, Coastguard Road, LITTLEHAMPTON, West Sussex, BN17 5LH",11/08/2016,,
6610,Licensing Act 2003,Premises Licence,Granted,Mr K J Morris,,Floral Fayre,"Shop 5, Grassmere Parade, Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7NT",24/11/2005,,
6615,Licensing Act 2003,Premises Licence,Granted,Ms M D Kataria,,Coopers Stores (londis),"6 Norfolk Road, LITTLEHAMPTON, West Sussex, BN17 5PL",16/02/2017,,
6620,Licensing Act 2003,Premises Licence,Granted,Mr Mark James Robinson,,Pallant Wines,"15 - 17 High Street, Arundel, West Sussex, BN18 9AD",04/05/2018,,
