"Name","Address","Postcode","Reference","longitude","latitude"
"The Joyful Whippet","  The Joyful Whippet, Steepdown Road, Sompting, West Sussex, BN15 0LJ","BN15 0LJ","LN/200500337",-0.335547,50.83949
"The Longshore","  The Longshore, The Longshore, 153 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 5LD","BN43 5LD","LN/200500331",-0.289527,50.827484
"The Marlipins Public House","  The Marlipins Public House, 38 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/200500341",-0.275634,50.831893
"The Mooring","  The Mooring, Emerald Quay Club, Emerald Quay, Shoreham-By-Sea, West Sussex, BN43 5JP","BN43 5JP","LN/200600097",-0.26541,50.830357
"The New Port Arms","  The New Port Arms, Lady Bee Marina, Albion Street, Southwick, West Sussex, BN42 4EG","BN42 4EG","LN/200500289",-0.23645,50.831266
"The New Sussex Hotel","  The New Sussex Hotel, The New Sussex Hotel, 182 South Street, Lancing, West Sussex, BN15 8AU","BN15 8AU","LN/200500347",-0.324553,50.822057
"The Old Star Ale & Cider House","  The Old Star Ale & Cider House, Old Star Ale And Cider House, Church Street, Shoreham-By-Sea, West Sussex, BN43 5DQ","BN43 5DQ","LN/201300262",-0.275172,50.832501
"The Plaice in the Square","  The Plaice in the Square, 3 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/200500258",-0.236313,50.834112
"The Railway Inn","  The Railway Inn, 1 North Road, Lancing, West Sussex, BN15 9AH","BN15 9AH","LN/200500360",-0.322829,50.827817
"The Red Lion","  The Red Lion, Old Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 5TE","BN43 5TE","LN/200500357",-0.284523,50.838113
"The Romans Hotel","  The Romans Hotel, Manor Hall Road, Southwick, West Sussex, BN42 4NG","BN42 4NG","LN/200500362",-0.229851,50.836757
"The Ropetackle Centre","  The Ropetackle Centre, Little High Street, Shoreham-By-Sea, West Sussex, BN43 5EG","BN43 5EG","LN/200700299",-0.279074,50.832574
"The Schooner","  The Schooner, 146 Albion Street, Southwick, West Sussex, BN42 4AU","BN42 4AU","LN/200500336",-0.234285,50.83144
"The Stanley Ale House","  The Stanley Ale House, 5 Queensway, Lancing, West Sussex, BN15 9AY","BN15 9AY","LN/201400624",-0.321783,50.828825
"The Tap House","  The Tap House, Ground Floor, 16-18 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200600051",-0.274502,50.832174
"Tides Pizzeria","  Tides Pizzeria, 21 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/201800296",-0.271918,50.829069
"Toast by the Coast","  Toast by the Coast, 8-10 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200700334",-0.274502,50.832174
"Tom Foolery Coffee Co","  Tom Foolery Coffee Co, 6 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/201600154",-0.275634,50.831893
"Tosca Prosecco & Tapas Bar","  Tosca Prosecco & Tapas Bar, 20A Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/201600342",-0.236854,50.834473
"Tosca Ristorante","  Tosca Ristorante, 39-41 High Street, Shoreham-By-Sea, West Sussex, BN43 5DD","BN43 5DD","LN/200800232",-0.276111,50.831667
"Seaside Primary School","  Seaside Primary School, Freshbrook Road, Lancing, West Sussex, BN15 8DL","BN15 8DL","LN/200600001",-0.312834,50.826547
"Shell Budgens Shoreham Airport","  Shell Budgens Shoreham Airport, 151 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 5LD","BN43 5LD","LN/200500302",-0.289527,50.827484
"Ship Inn","  Ship Inn, Ship Inn, 9 Southwick Street, Southwick, West Sussex, BN42 4AD","BN42 4AD","LN/200500298",-0.235345,50.833432
"Shoreham Airport Music Festival","  Shoreham Airport Music Festival, Shoreham Airport, Cecil Pashley Way, Lancing, West Sussex, BN43 5FF","BN43 5FF","LN/201500028",-0.29223,50.833219
"Shoreham Cafe","  Shoreham Cafe, 376 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RE","BN43 6RE","LN/200900167",-0.268881,50.832884
"Shoreham Centre Bar","  Shoreham Centre Bar, The Shoreham Centre, Pond Road, Shoreham-By-Sea, West Sussex, BN43 5WU","BN43 5WU","LN/200500358",-0.275314,50.834059
"Shoreham Conservative Club","  Shoreham Conservative Club, Conservative Club, Marlborough House, 102-110 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200500318",-0.278177,50.832653
"Shoreham News","  Shoreham News, 7 Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UA","BN43 5UA","LN/200500273",-0.272374,50.83522
"Shoreham Rowing Club","  Shoreham Rowing Club, Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RN","BN43 6RN","LN/200500315",-0.256947,50.831868
"Shoreham Sailing Club","  Shoreham Sailing Club, 223 Harbour Way, Shoreham-By-Sea, West Sussex, BN43 5HZ","BN43 5HZ","LN/200500314",-0.255248,50.82983
"Shoreham Service Station","  Shoreham Service Station, Shoreham Service Station, 412-414 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 5DR","BN43 5DR","LN/201200037",-0.274023,50.832068
"Shoreham Snooker Club","  Shoreham Snooker Club, Shoreham Club, 18 West Street, Shoreham-By-Sea, West Sussex, BN43 5WG","BN43 5WG","LN/200500312",-0.277398,50.833727
"Sir Robert Woodard Academy","  Sir Robert Woodard Academy, Sir Robert Woodard Academy, 44 Upper Boundstone Lane, Sompting, West Sussex, BN15 9QZ","BN15 9QZ","LN/200500288",-0.331207,50.834575
"Slake Spirits","  Slake Spirits, 14 Feversham Close, Shoreham-By-Sea, West Sussex, BN43 5HD","BN43 5HD","LN/201700119",-0.25968,50.828635
"Slate Restaurant","  Slate Restaurant, 274 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6BF","BN43 6BF","LN/200500333",-0.26028,50.841513
"Sompting Community Centre","  Sompting Community Centre, Harriet Johnson Centre, 18 Loose Lane, Sompting, West Sussex, BN15 0BG","BN15 0BG","LN/200500266",-0.345547,50.833832
"Sompting Convenience Store","  Sompting Convenience Store, 117-119 Sompting Road, Lancing, West Sussex, BN15 9LG","BN15 9LG","LN/200500221",-0.332203,50.82814
"Sompting Mini Market","  Sompting Mini Market, 5 Seadown Parade, 16 Bowness Avenue, Sompting, West Sussex, BN15 9TP","BN15 9TP","LN/200500294",-0.34004,50.826928
"Sompting Supermarket","  Sompting Supermarket, 8 Seadown Parade, 16 Bowness Avenue, Sompting, West Sussex, BN15 9TP","BN15 9TP","LN/200800057",-0.34004,50.826928
"Sompting Village Hall","  Sompting Village Hall, West Street, Sompting, West Sussex, BN15 0BE","BN15 0BE","LN/200700154",-0.345921,50.834494
"Southlands Post Office & Store","  Southlands Post Office & Store, 272 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6BF","BN43 6BF","LN/200500271",-0.26028,50.841513
"Southwick Beer EnGINe","  Southwick Beer EnGINe, Southwick Beer Engine, 2 Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/201800086",-0.236854,50.834473
"Southwick Football Club","  Southwick Football Club, Old Barn Way, Southwick, West Sussex, BN42 4NT","BN42 4NT","LN/200500342",-0.224404,50.834345
"Southwick Sports and Social Club","  Southwick Sports and Social Club, 11 The Twitten, Southwick, West Sussex, BN42 4DB","BN42 4DB","LN/200500326",-0.236566,50.833819
"Spotted Cow","  Spotted Cow, Church Farm, Coombes Road, Coombes, West Sussex, BN15 0RS","BN15 0RS","LN/200500366",-0.308272,50.861222
"St Johns Ambulance HQ","  St Johns Ambulance HQ, The Twitten, Southwick, West Sussex, BN42 4DB","BN42 4DB","LN/200500254",-0.236566,50.833819
"St Julians Church Hall","  St Julians Church Hall, Rectory Road, Shoreham-By-Sea, West Sussex, BN43 6EB","BN43 6EB","LN/200500255",-0.247093,50.834481
"Sussex Convenience Store","  Sussex Convenience Store, 374 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RE","BN43 6RE","LN/201100098",-0.268881,50.832884
"Sussex County Croquet Club","  Sussex County Croquet Club, Victoria Road, Southwick, West Sussex, BN42 4DJ","BN42 4DJ","LN/200500310",-0.241794,50.832641
"Sussex County Football Assoc. (Bar)","  Sussex County Football Assoc. (Bar), Culver Road, Lancing, West Sussex, BN15 9AX","BN15 9AX","LN/201000170",-0.323682,50.828924
"Sussex Yacht Club","  Sussex Yacht Club, Riverside, Southwick, West Sussex, BN42 4AW","BN42 4AW","LN/200500332",-0.234032,50.831364
"Sussex Yacht Club","  Sussex Yacht Club, 85-89 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RF","BN43 6RF","LN/200500355",-0.272725,50.832249
"Suter's Yard","  Suter's Yard, 64 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200500241",-0.278177,50.832653
"Swiss Cottage","  Swiss Cottage, Old Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 5TD","BN43 5TD","LN/200500323",-0.281326,50.836243
"Rajah Restaurant","  Rajah Restaurant, 1 Windmill Parade, 163-183 Old Shoreham Road, Southwick, West Sussex, BN42 4QB","BN42 4QB","LN/200500359",-0.233106,50.840457
"Rocking Horse","  Rocking Horse, Rocking Horse Cocktail Bar, 48-52 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/201700447",-0.275634,50.831893
"Ropetackle Fish and Chip Restaurant","  Ropetackle Fish and Chip Restaurant, 90 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200500261",-0.278177,50.832653
"Royal British Legion","  Royal British Legion, 6 Culver Road, Lancing, West Sussex, BN15 9AX","BN15 9AX","LN/200500316",-0.323682,50.828924
"Royal British Legion Club","  Royal British Legion Club, 9-11 Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UA","BN43 5UA","LN/200500334",-0.272374,50.83522
"Royal George","  Royal George, Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6TA","BN43 6TA","LN/200500363",-0.252716,50.841337
"Royal Sovereign Public House","  Royal Sovereign Public House, 6 Middle Street, Shoreham-By-Sea, West Sussex, BN43 5DP","BN43 5DP","LN/200500322",-0.275761,50.832687
"Parish's","  Parish's, 40 Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/200800022",-0.236854,50.834473
"Perch on Lancing Beach","  Perch on Lancing Beach, 28B Brighton Road, Lancing, West Sussex, BN15 8RA","BN15 8RA","LN/201500272",-0.324361,50.819869
"Piston Broke","  Piston Broke, 88 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200500269",-0.278177,50.832653
"Premier","  Premier, 157 South Street, Lancing, West Sussex, BN15 8BD","BN15 8BD","LN/201100070",-0.324392,50.821389
"Premier Garrets Newsagents","  Premier Garrets Newsagents, 7 North Road, Lancing, West Sussex, BN15 9AH","BN15 9AH","LN/201200119",-0.322829,50.827817
"Premier Local (B&K News)","  Premier Local (B&K News), Shop, 4 Hillbarn Parade, Upper Brighton Road, Sompting, West Sussex, BN15 0LH","BN15 0LH","LN/200500286",-0.335582,50.837749
"Premier Maxi's Supermarket","  Premier Maxi's Supermarket, 8 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/200900228",-0.275634,50.831893
"Ocean View Diving Club (Bar)","  Ocean View Diving Club (Bar), 158-160 South Street, Lancing, West Sussex, BN15 8AU","BN15 8AU","LN/200500369",-0.324553,50.822057
"One Stop","  One Stop, 2-4 Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UA","BN43 5UA","LN/200500253",-0.272374,50.83522
"One Stop","  One Stop, 5 The Parade, Cokeham Road, Sompting, West Sussex, BN15 0AH","BN15 0AH","LN/200500301",-0.336828,50.832998
"One Stop Convenience Shop","  One Stop Convenience Shop, 3 Middle Road, Shoreham-By-Sea, West Sussex, BN43 6GA","BN43 6GA","LN/200800096",-0.261063,50.836129
"Naaz Tandoori","  Naaz Tandoori, 14-16 North Road, Lancing, West Sussex, BN15 9AE","BN15 9AE","LN/200500280",-0.322417,50.827386
"MacFarlanes Newsagents","  MacFarlanes Newsagents, 21 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/201400729",-0.236313,50.834112
"Magnet News","  Magnet News, 34 Crabtree Lane, Lancing, West Sussex, BN15 9PQ","BN15 9PQ","LN/200600547",-0.320747,50.831976
"Manor Road Service Station","  Manor Road Service Station, Manor Road Service Station, 96 Manor Road, Lancing, West Sussex, BN15 0HL","BN15 0HL","LN/200500293",-0.328494,50.837735
"Mansell Road Post Office And News","  Mansell Road Post Office And News, 61 Mansell Road, Shoreham-By-Sea, West Sussex, BN43 6GT","BN43 6GQ","LN/200500222",-0.25461,50.837022
"Marks And Spencers","  Marks And Spencers, Marks And Spencers Plc, Holmbush Centre, Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6TD","BN43 6TD","LN/201100128",-0.251892,50.842098
"Marquis Of Granby","  Marquis Of Granby, West Street, Sompting, West Sussex, BN15 0AP","BN15 0AP","LN/200500353",-0.353147,50.83456
"McDonalds","  McDonalds, 2 Eastern Avenue, Shoreham-By-Sea, West Sussex, BN43 6PW","BN43 6PW","LN/200700386",-0.264335,50.833302
"Meze-Meze","  Meze-Meze, 170-172 South Street, Lancing, West Sussex, BN15 8AU","BN15 8AU","LN/200600505",-0.324553,50.822057
"Middle Road Off Licence","  Middle Road Off Licence, 1 Middle Road, Shoreham-By-Sea, West Sussex, BN43 6GA","BN43 6GA","LN/200900022",-0.261063,50.836129
"Miller and Carter","  Miller and Carter, 43 Manor Road, Lancing, West Sussex, BN15 0EY","BN15 0EY","LN/200500328",-0.321246,50.837903
"Mulberrys","  Mulberrys, 38 South Street, Lancing, West Sussex, BN15 8AG","BN15 8AG","LN/200500242",-0.323213,50.826204
"Mulberrys","  Mulberrys, 10 Kent Close, Shoreham-By-Sea, West Sussex, BN43 6LQ","BN43 6LQ","LN/200500262",-0.249184,50.835142
"Mulberrys","  Mulberrys, 42 Crabtree Lane, Lancing, West Sussex, BN15 9PQ","BN15 9PQ","LN/201100047",-0.320747,50.831976
"La Galleria Restaurant","  La Galleria Restaurant, 22 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200500282",-0.274502,50.832174
"Lancing College","  Lancing College, College Drive, Lancing, West Sussex, BN15 0RW","BN15 0RW","LN/200600096",-0.30509,50.845527
"Lancing Manor Leisure Centre","  Lancing Manor Leisure Centre, Leisure Centre, Lancing Manor, Manor Road, Lancing, West Sussex, BN15 0PH","BN15 0PH","LN/200500267",-0.318639,50.837288
"Lancing Parish Council","  Lancing Parish Council, Lancing Parish Hall, 96-98 South Street, Lancing, West Sussex, BN15 8AJ","BN15 8AJ","LN/200500287",-0.323665,50.823843
"Lancing Sailing Club","  Lancing Sailing Club, Shopsdam Road, Lancing, West Sussex, BN15 8ES","BN15 8ES","LN/200500309",-0.313678,50.821696
"Laylands News & Off Licence","  Laylands News & Off Licence, Former 4, Laylands Road, Southwick, West Sussex, BN41 1PP","BN41 1PP","LN/200700228",-0.221151,50.832856
"Lidl","  Lidl, Unit 1, Malthouse Trading Estate, Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RJ","BN43 6RJ","LN/201500335",-0.258791,50.832687
"Joyson News","  Joyson News, 401 Brighton Road, Lancing, West Sussex, BN15 8JX","BN15 8JX","LN/200500283",-0.297227,50.825825
"Indian Cottage Tandoori","  Indian Cottage Tandoori, 74-76 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200500295",-0.278177,50.832653
"Into The Blue","  Into The Blue, 29-31 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200500361",-0.271918,50.829069
"H & K Store","  H & K Store, 10-12 Lisher Road, Lancing, West Sussex, BN15 9EY","BN15 9EY","LN/201200046",-0.314387,50.835464
"Harvester","  Harvester, Britannia Inn, 98 Grinstead Lane, Lancing, West Sussex, BN15 9DP","BN15 9DP","LN/200500356",-0.319463,50.831337
"Hellen News","  Hellen News, 29 Brunswick Road, Shoreham-By-Sea, West Sussex, BN43 5WA","BN43 5WA","LN/201300001",-0.272847,50.833903
"Holmbush Stores, Mace","  Holmbush Stores, Mace, 60 Holmbush Way, Southwick, West Sussex, BN42 4YD","BN42 4YD","LN/200500292",-0.238196,50.844096
"Hummingbird Restaurant","  Hummingbird Restaurant, Cafe, Terminal Building, 14 Cecil Pashley Way, Lancing, West Sussex, BN43 5FF","BN43 5FF","LN/200500339",-0.29223,50.833219
"Gardeners Arms","  Gardeners Arms, West Street, Sompting, West Sussex, BN15 0AR","BN15 0AR","LN/200500346",-0.354082,50.834627
"Garretts Newsagents","  Garretts Newsagents, 20-22 Queens Parade, North Road, Lancing, West Sussex, BN15 9BA","BN15 9BA","LN/201500143",-0.322174,50.829397
"Ginger & Dobbs","  Ginger & Dobbs, 31-32 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZD","BN43 5ZD","LN/201400403",-0.273537,50.832935
"","  Ferry Rigg Inn, 1 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200500338",-0.274502,50.832174
"Farmers Hotel","  Farmers Hotel, The Farmers, 17 South Street, Lancing, West Sussex, BN15 8AE","BN15 8AE","LN/200500260",-0.322813,50.82627
"Farmhouse Pizza","  Farmhouse Pizza, 397 Brighton Road, Lancing, West Sussex, BN15 8JX","BN15 8JX","LN/201600369",-0.297227,50.825825
"For UR Convenience","  For UR Convenience, 116 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/201200095",-0.278177,50.832653
"Forbidden Palace","  Forbidden Palace, 132 South Street, Lancing, West Sussex, BN15 8AU","BN15 8AU","LN/200500296",-0.324553,50.822057
"Empire Club","  Empire Club, 20 Penhill Road, Lancing, West Sussex, BN15 8HJ","BN15 8HJ","LN/200500307",-0.320996,50.823841
"Drury Cafe","  Drury Cafe, 19 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/201700125",-0.236313,50.834112
"Duke Of Wellington","  Duke Of Wellington, 368 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RE","BN43 6RE","LN/200500281",-0.268881,50.832884
"Calcutta 16","  Calcutta 16, 112 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200600000",-0.278177,50.832653
"Carats Beach Cafe","  Carats Beach Cafe, Basin Road South, Southwick, West Sussex, BN41 1WD","BN41 1WD","LN/200500299",-0.237799,50.828972
"Chambers Bistro","  Chambers Bistro, Restaurant, Town Hall Chambers, 45-49 High Street, Shoreham-By-Sea, West Sussex, BN43 5DD","BN43 5DD","LN/200500243",-0.276111,50.831667
"Champion House Social Club","  Champion House Social Club, 9 Southdown Road, Southwick, West Sussex, BN42 4FT","BN42 4FT","LN/200500306",-0.236054,50.835709
"Charcoal Grill","  Charcoal Grill, 71 High Street, Shoreham-By-Sea, West Sussex, BN43 5DE","BN43 5DE","LN/200500245",-0.277713,50.832113
"Co-Op","  Co-Op, 1-2 Royal George Parade, Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6TB","BN43 6TB","LN/200500247",-0.25031,50.841142
"Co-Op","  Co-Op, Supermarket, The Co Operative Complex, Ham Road, Shoreham-By-Sea, West Sussex, BN43 6PA","BN43 6PA","LN/200500248",-0.27066,50.833945
"Co-Op","  Co-Op, 22-26 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/200500250",-0.275634,50.831893
"Co-Op","  Co-Op, Co Operative Retail Services, 8-16 Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/200500257",-0.236854,50.834473
"Co-Op","  Co-Op, 57-59 Test Road, Sompting, West Sussex, BN15 0EN","BN15 0EN","LN/200500277",-0.341676,50.831664
"Co-Op","  Co-Op, 28-30 Queens Parade, North Road, Lancing, West Sussex, BN15 9BA","BN15 9BA","LN/200500368",-0.322174,50.829397
"Co-op","  Co-op, Manor Road Service Station, 96 Manor Road, Lancing, West Sussex, BN15 0HL","BN15 0HL","LN/201900184",-0.328494,50.837735
"Cricketers","  Cricketers, The Cricketers, 20 The Green, Southwick, West Sussex, BN42 4GF","BN42 4GF","LN/200500325",-0.237909,50.833614
"Crown And Anchor","  Crown And Anchor, Crown And Anchor, 33 High Street, Shoreham-By-Sea, West Sussex, BN43 5DD","BN43 5DD","LN/200500344",-0.276111,50.831667
"Barn Theatre and Barn Cafe","  Barn Theatre and Barn Cafe, Southwick Community Centre, 24 Southwick Street, Southwick, West Sussex, BN42 4TE","BN42 4TE","LN/200500300",-0.233927,50.834498
"Beach Cafe","  Beach Cafe, 7 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/201000085",-0.271918,50.829069
"Beach Green Stores","  Beach Green Stores, 134 Beach Green, Shoreham-By-Sea, West Sussex, BN43 5YA","BN43 5YA","LN/200500259",-0.283771,50.828785
"Best Health Food Shop","  Best Health Food Shop, 33 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZD","BN43 5ZD","LN/201800318",-0.273537,50.832935
"Bidfood","  Bidfood, 32 Chartwell Road, Lancing, West Sussex, BN15 8TU","BN15 8TU","LN/201800325",-0.333711,50.82324
"Brio Ristorante","  Brio Ristorante, Restaurant, William De Braose House, 46 Brunswick Road, Shoreham-By-Sea, West Sussex, BN43 5WB","BN43 5WB","LN/200500371",-0.272646,50.833606
"Buckingham Park Primary School","  Buckingham Park Primary School, Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UD","BN43 5UD","LN/200600089",-0.270575,50.83851
"Adur Express Convenience Store","  Adur Express Convenience Store, 141-143 The Gardens, Southwick, West Sussex, BN42 4AR","BN42 4AR","LN/200800206",-0.227175,50.832408
"Adur Indoor Bowling Club","  Adur Indoor Bowling Club, Old Barn Way, Southwick, West Sussex, BN42 4NT","BN42 4NT","LN/200900156",-0.224404,50.834345
"Albion Inn","  Albion Inn, 13 Fishersgate Terrace, Southwick, West Sussex, BN41 1PH","BN41 1PH","LN/200500351",-0.218396,50.830989
"Ali Baba","  Ali Baba, 9 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/200500264",-0.236313,50.834112
"Alishaan Indian Restaurant","  Alishaan Indian Restaurant, West Street, Sompting, West Sussex, BN15 0AP","BN15 0AP","LN/200500272",-0.353147,50.83456
"Artisan Cafe","  Artisan Cafe, 2 Tarmount Lane, Shoreham-By-Sea, West Sussex, BN43 6DA","BN43 6DA","LN/201500162",-0.273103,50.832785
"ASDA","  ASDA, South Street, Lancing, West Sussex, BN15 8AG","BN15 8AG","LN/200500246",-0.323213,50.826204
"Atlantic Store","  Atlantic Store, 13 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200800108",-0.271918,50.829069
